Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,15,100
Original Normal,Random Forest - SSL - Self Training,0.9832231404958678,0.1576763485477178,0.1775700934579439,0.1417910447761194,15,100
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,15,100
Original Over Sampled,Random Forest - SSL - Co Training,0.9807438016528924,0.1465201465201465,0.1438848920863309,0.1492537313432835,15,100
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,15,100
Original Under Sampled,Random Forest - SSL - Co Training,0.984297520661157,0.1666666666666666,0.202127659574468,0.1417910447761194,15,100
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,15,100
Original Normal,Random Forest - SSL - Co Training,0.9868595041322314,0.1215469613259668,0.2340425531914893,0.0820895522388059,15,100
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,20,75
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.97900826446281,0.1589403973509933,0.1428571428571428,0.1791044776119403,20,75
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,20,75
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9823140495867768,0.1157024793388429,0.1296296296296296,0.1044776119402985,20,75
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,20,75
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.97801652892562,0.130718954248366,0.1162790697674418,0.1492537313432835,20,75
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,20,75
Original Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.97900826446281,0.1589403973509933,0.1428571428571428,0.1791044776119403,20,75
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,20,75
Original Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9823140495867768,0.1157024793388429,0.1296296296296296,0.1044776119402985,20,75
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,20,75
Original Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.97801652892562,0.130718954248366,0.1162790697674418,0.1492537313432835,20,75
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,20,75
Original Over Sampled,Random Forest - AL - Query By Committee,0.9784297520661156,0.1442622950819672,0.1286549707602339,0.1641791044776119,20,75
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,20,75
Original Under Sampled,Random Forest - AL - Query By Committee,0.9832231404958678,0.1434599156118143,0.1650485436893204,0.126865671641791,20,75
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,20,75
Original Normal,Random Forest - AL - Query By Committee,0.9794214876033058,0.1263157894736842,0.119205298013245,0.1343283582089552,20,75
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,20,75
Original Over Sampled,Random Forest - SSL - Self Training,0.9781818181818182,0.131578947368421,0.1176470588235294,0.1492537313432835,20,75
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,20,75
Original Under Sampled,Random Forest - SSL - Self Training,0.981404958677686,0.1444866920152091,0.1472868217054263,0.1417910447761194,20,75
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,20,75
Original Normal,Random Forest - SSL - Self Training,0.9844628099173554,0.1376146788990825,0.1785714285714285,0.1119402985074626,20,75
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,20,75
Original Over Sampled,Random Forest - SSL - Co Training,0.9815702479338844,0.1322957198443579,0.1382113821138211,0.126865671641791,20,75
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,20,75
Original Under Sampled,Random Forest - SSL - Co Training,0.9846280991735538,0.146788990825688,0.1904761904761904,0.1194029850746268,20,75
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,20,75
Original Normal,Random Forest - SSL - Co Training,0.9849586776859504,0.1495327102803738,0.2,0.1194029850746268,20,75
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,25,60
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9794214876033058,0.1501706484641638,0.1383647798742138,0.1641791044776119,25,60
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,25,60
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9836363636363636,0.146551724137931,0.173469387755102,0.126865671641791,25,60
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,25,60
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9785123966942147,0.1390728476821192,0.125,0.1567164179104477,25,60
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,25,60
Original Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9794214876033058,0.1501706484641638,0.1383647798742138,0.1641791044776119,25,60
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,25,60
Original Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9836363636363636,0.146551724137931,0.173469387755102,0.126865671641791,25,60
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,25,60
Original Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9785123966942147,0.1390728476821192,0.125,0.1567164179104477,25,60
