Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,XGBoost - SSL - Self Training,0.921060070671378,0.8378574539120337,0.7366943203573708,0.9712266532054518,25,60
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,25,60
Low Under Sampled,XGBoost - SSL - Self Training,0.9224381625441695,0.8230837430482792,0.7899133663366337,0.8591620393740536,25,60
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,25,60
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,25,60
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,25,60
Low Over Sampled,XGBoost - SSL - Co Training,0.9206007067137808,0.8370203815188221,0.7355940846506884,0.9708901228335858,25,60
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,25,60
Low Under Sampled,XGBoost - SSL - Co Training,0.9013074204946996,0.7634053367217281,0.7686796315250768,0.7582029278142353,25,60
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,25,60
Low Normal,XGBoost - SSL - Co Training,0.9292932862190812,0.8522483940042827,0.7593421052631579,0.9710583880195188,25,60
